CFOP,DESCRIÇÃO,APLICAÇÃO,
5.153,Transferência de energia elétrica,"Classificam-se neste código as transferências de energia elétrica para outro estabelecimento da mesma empresa, para distribuição.",
5.155,"Transferência de produção do estabelecimento, que não deva por ele transitar","Classificam-se neste código as transferências para outro estabelecimento da mesma empresa, de produtos industrializados no estabelecimento que tenham sido remetidos para armazém geral, depósito fechado ou outro, sem que haja retorno ao estabelecimento depositante.",
5.156,"Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar","Classificam-se neste código as transferências para outro estabelecimento da mesma empresa, de mercadorias adquiridas ou recebidas de terceiros para industrialização ou comercialização, que não tenham sido objeto de qualquer processo industrial, remetidas para armazém geral, depósito fechado ou outro, sem que haja retorno ao estabelecimento depositante.",
5.2,"DEVOLUÇÕES DE COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU ANULAÇÕES DE VALORES (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)", Início,
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
5.201,Devolução de compra para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),"Devolução de mercadoria adquirida para ser utilizada em processo de industrialização ou produção rural, cuja entrada tenha sido classificada como ""1.101 - Compra para industrialização ou produção rural"".",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
5.202,Devolução de compra para comercialização,"Classificam-se neste código as devoluções de mercadorias adquiridas para serem comercializadas, cujas entradas tenham sido classificadas como Compra para comercialização.",
5.205,Anulação de valor relativo a aquisição de serviço de comunicação,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes das aquisições de serviços de comunicação.",
5.206,Anulação de valor relativo a aquisição de serviço de transporte,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes das aquisições de serviços de transporte.",
5.207,Anulação de valor relativo à compra de energia elétrica,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes da compra de energia elétrica.",
5.208,Devolução de mercadoria recebida em transferência para industrialização ou produção rural,"Devolução de mercadoria recebida em transferência de outro estabelecimento da mesma empresa, para ser utilizada em processo de industrialização ou produção rural.",
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
5.209,Devolução de mercadoria recebida em transferência para comercialização,"Classificam-se neste código as devoluções de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.",
5.21,Devolução de compra para utilização na prestação de serviço,"Classificam-se neste código as devoluções de mercadorias adquiridas para utilização na prestação de serviços, cujas entradas tenham sido classificadas nos códigos “1.126 - Compra para utilização na prestação de serviço sujeita ao ICMS” e “1.128 - Compra para utilização na prestação de serviço sujeita ao ISSQN. (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011 – DECRETO 36.465/2011. Vejamais[p1]",
5.25,VENDAS DE ENERGIA ELÉTRICA, Início,
5.251,Venda de energia elétrica para distribuição ou comercialização,Classificam-se neste código as vendas de energia elétrica destinada à distribuição ou comercialização. Também serão classificadas neste código as vendas de energia elétrica destinada a cooperativas para distribuição aos seus cooperados.,
5.252,Venda de energia elétrica para estabelecimento industrial,Classificam-se neste código as vendas de energia elétrica para consumo por estabelecimento industrial. Também serão classificadas neste código as vendas de energia elétrica destinada a estabelecimento industrial de cooperativa.,
5.253,Venda de energia elétrica para estabelecimento comercial,Classificam-se neste código as vendas de energia elétrica para consumo por estabelecimento comercial. Também serão classificadas neste código as vendas de energia elétrica destinada a estabelecimento comercial de cooperativa.,
5.254,Venda de energia elétrica para estabelecimento prestador de serviço de transporte,Classificam-se neste código as vendas de energia elétrica para consumo por estabelecimento de prestador de serviços de transporte.,
5.255,Venda de energia elétrica para estabelecimento prestador de serviço de comunicação,Classificam-se neste código as vendas de energia elétrica para consumo por estabelecimento de prestador de serviços de comunicação.,
5.256,Venda de energia elétrica para estabelecimento de produtor rural,Classificam-se neste código as vendas de energia elétrica para consumo por estabelecimento de produtor rural.,
5.257,Venda de energia elétrica para consumo por demanda contratada,"Classificam-se neste código as vendas de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.",
5.258,Venda de energia elétrica a não contribuinte,Classificam-se neste código as vendas de energia elétrica a pessoas físicas ou a pessoas jurídicas não indicadas nos códigos anteriores.,
5.3,PRESTAÇÕES DE SERVIÇOS DE COMUNICAÇÃO, Início,
5.301,Prestação de serviço de comunicação para execução de serviço da mesma natureza,Classificam-se neste código as prestações de serviços de comunicação destinados às prestações de serviços da mesma natureza.,
5.302,Prestação de serviço de comunicação a estabelecimento industrial,Classificam-se neste código as prestações de serviços de comunicação a estabelecimento industrial. Também serão classificados neste código os serviços de comunicação prestados a estabelecimento industrial de cooperativa.,
5.303,Prestação de serviço de comunicação a estabelecimento comercial,Classificam-se neste código as prestações de serviços de comunicação a estabelecimento comercial. Também serão classificados neste código os serviços de comunicação prestados a estabelecimento comercial de cooperativa.,
5.304,Prestação de serviço de comunicação a estabelecimento de prestador de serviço de transporte,Classificam-se neste código as prestações de serviços de comunicação a estabelecimento prestador de serviço de transporte.,
5.305,Prestação de serviço de comunicação a estabelecimento de geradora ou de distribuidora de energia elétrica,Classificam-se neste código as prestações de serviços de comunicação a estabelecimento de geradora ou de distribuidora de energia elétrica.,
5.306,Prestação de serviço de comunicação a estabelecimento de produtor rural,Classificam-se neste código as prestações de serviços de comunicação a estabelecimento de produtor rural.,
5.307,Prestação de serviço de comunicação a não contribuinte,Classificam-se neste código as prestações de serviços de comunicação a pessoas físicas ou a pessoas jurídicas não indicadas nos códigos anteriores.,
5.35,PRESTAÇÕES DE SERVIÇOS DE TRANSPORTE, Início,
5.351,Prestação de serviço de transporte para execução de serviço da mesma natureza,Classificam-se neste código as prestações de serviços de transporte destinados às prestações de serviços da mesma natureza.,
5.352,Prestação de serviço de transporte a estabelecimento industrial,Classificam-se neste código as prestações de serviços de transporte a estabelecimento industrial. Também serão classificados neste código os serviços de transporte prestados a estabelecimento industrial de cooperativa.,
5.353,Prestação de serviço de transporte a estabelecimento comercial,Classificam-se neste código as prestações de serviços de transporte a estabelecimento comercial. Também serão classificados neste código os serviços de transporte prestados a estabelecimento comercial de cooperativa.,
5.354,Prestação de serviço de transporte a estabelecimento de prestador de serviço de comunicação,Classificam-se neste código as prestações de serviços de transporte a estabelecimento prestador de serviços de comunicação.,
5.355,Prestação de serviço de transporte a estabelecimento de geradora ou de distribuidora de energia elétrica,Classificam-se neste código as prestações de serviços de transporte a estabelecimento de geradora ou de distribuidora de energia elétrica.,
5.356,Prestação de serviço de transporte a estabelecimento de produtor rural,Classificam-se neste código as prestações de serviços de transporte a estabelecimento de produtor rural.,
5.357,Prestação de serviço de transporte a não contribuinte,Classificam-se neste código as prestações de serviços de transporte a pessoas físicas ou a pessoas jurídicas não indicadas nos códigos anteriores.,
5.359,"Prestação de serviço de transporte a contribuinte ou a não-contribuinte, quando a mercadoria transportada esteja dispensada de emissão de Nota Fiscal ","Prestação de serviço de transporte a contribuinte ou a não-contribuinte, quando não existir a obrigação legal de emissão de Nota Fiscal para a mercadoria transportada. (ACR Ajuste SINIEF 03/2004) (DECRETO Nº 26.810, DE 10 DE JUNHO DE 2004) (a partir de 01.01.2005)",
5.36,Prestação de serviço de transporte a contribuinte-substituto em relação ao serviço de transporte (ACR) (Ajuste SINIEF 06/2007- Decreto nº 30.861/2007) – a partir de 01.01.2008,Prestação de serviço de transporte a contribuinte a quem tenha sido atribuída a condição de contribuinte-substituto em relação ao imposto incidente na prestação dos serviços.,
5.4,SAÍDAS DE MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA, Início,
5.401,Venda de produção do estabelecimento quando o produto esteja sujeito ao regime de substituição tributária,"Venda de produto industrializado ou produzido pelo estabelecimento, quando o referido produto estiver sujeito ao regime de substituição tributária, bem como a de produto industrializado, por estabelecimento industrial ou produtor rural de cooperativa, sujeito ao regime de substituição tributária.",
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
5.402,"Venda de produção do estabelecimento de produto sujeito ao regime de substituição tributária, em operação entre contribuintes substitutos do mesmo produto","Classificam-se neste código as vendas de produtos sujeitos ao regime de substituição tributária industrializados no estabelecimento, em operações entre contribuintes substitutos do mesmo produto",
5.403,"Venda de mercadoria, adquirida ou recebida de terceiros, sujeita ao regime de substituição tributária, na condição de contribuinte-substituto","Venda de mercadoria, adquirida ou recebida de terceiros, sujeita ao regime de substituição tributária, na condição de contribuinte-substituto.",
,,,
,,– (Decreto Nº 25.068/2003). a partir 01.01.2003,
5.405,"Venda de mercadoria, adquirida ou recebida de terceiros, sujeita ao regime de substituição tributária, na condição de contribuinte-substituído","Venda de mercadoria, adquirida ou recebida de terceiros, sujeita ao regime de substituição tributária, na condição de contribuinte-substituído.",
,,,
,,– (Decreto Nº 25.068/2003). a partir 01.01.2003,
5.408,Transferência de produção do estabelecimento quando o produto estiver sujeito ao regime de substituição tributária,"Transferência de produto industrializado ou produzido no estabelecimento, para outro estabelecimento da mesma empresa, quando o produto estiver sujeito ao regime de substituição tributária.",
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
5.409,Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as transferências para outro estabelecimento da mesma empresa, de mercadorias adquiridas ou recebidas de terceiros que não tenham sido objeto de qualquer processo industrial no estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.",
5.41,Devolução de compra para industrialização de mercadoria sujeita ao regime de substituição tributária,"Devolução de mercadoria adquirida para ser utilizada em processo de industrialização ou produção rural, cuja entrada tenha sido classificada como ""Compra para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária"".",
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
5.411,Devolução de compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as devoluções de mercadorias adquiridas para serem comercializadas, cujas entradas tenham sido classificadas como Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária.",
5.412,"Devolução de bem do ativo imobilizado, em operação com mercadoria sujeita ao regime de substituição tributária","Classificam-se neste código as devoluções de bens adquiridos para integrar o ativo imobilizado do estabelecimento, cuja entrada tenha sido classificada no código 1.406 - Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária.",
5.413,"Devolução de mercadoria destinada ao uso ou consumo, em operação com mercadoria sujeita ao regime de substituição tributária.","Classificam-se neste código as devoluções de mercadorias adquiridas para uso ou consumo do estabelecimento, cuja entrada tenha sido classificada no código 1.407 - Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária.",
5.414,"Remessa de produção do estabelecimento para venda fora do estabelecimento, quando o produto estiver sujeito ao regime de substituição tributária","Remessa de produto industrializado ou produzido pelo estabelecimento para ser vendido fora do estabelecimento, inclusive por meio de veículo, quando o mencionado produto estiver sujeito ao regime de substituição tributária.",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
5.415,"Remessa de mercadoria adquirida ou recebida de terceiros para venda fora do estabelecimento, em operação com mercadoria sujeita ao regime de substituição tributária","Classificam-se neste código as remessas de mercadorias adquiridas ou recebidas de terceiros para serem vendidas fora do estabelecimento, inclusive por meio de veículos, em operações com mercadorias sujeitas ao regime de substituição tributária.",
5.45,SISTEMAS DE INTEGRAÇÃO, Início,
5.451,Remessa de animal e de insumo para estabelecimento produtor,"Classificam-se neste código as saídas referentes à remessa de animais e de insumos para criação de animais no sistema integrado, tais como: pintos, leitões, rações e medicamentos.",
5.5,REMESSAS PARA FORMAÇÃO DE LOTE E COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES (NR Ajuste SINIEF 09/2005), Início,
,,,
,,"(NR Ajuste SINIEF 09/2005) (Dec. 28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006)",
5.501,"Remessa de produção do estabelecimento, com fim específico de exportação","Saída de produto industrializado ou produzido pelo estabelecimento, remetido com fim específico de exportação a ""trading company"", empresa comercial exportadora ou outro estabelecimento do remetente",
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
5.502,"Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação","Classificam-se neste código as saídas de mercadorias adquiridas ou recebidas de terceiros, remetidas com fim específico de exportação a trading company, empresa comercial exportadora ou outro estabelecimento do remetente.",
5.503,Devolução de mercadoria recebida com fim específico de exportação,"Classificam-se neste código as devoluções efetuadas por trading company, empresa comercial exportadora ou outro estabelecimento do destinatário, de mercadorias recebidas com fim específico de exportação, cujas entradas tenham sido classificadas no código 1.501 - Entrada de mercadoria recebida com fim específico de exportação.",
5.504,"Remessa de mercadoria para formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento.","Remessa de mercadoria para formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento.",
,,,
,,"(ACR Ajuste SINIEF 09/2005) (Dec. 28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006)",
5.505,"Remessa de mercadoria, adquirida ou recebida de terceiros, para formação de lote de exportação.","Remessa de mercadoria, adquirida ou recebida de terceiros, para formação de lote de exportação.",
,,,
,,"(ACR Ajuste SINIEF 09/2005) (Dec. 28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006)",
5.55,OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO, Início,
5.551,Venda de bem do ativo imobilizado,Classificam-se neste código as vendas de bens integrantes do ativo imobilizado do estabelecimento.,
5.552,Transferência de bem do ativo imobilizado,Classificam-se neste código os bens do ativo imobilizado transferidos para outro estabelecimento da mesma empresa.,
5.553,Devolução de compra de bem para o ativo imobilizado,"Classificam-se neste código as devoluções de bens adquiridos para integrar o ativo imobilizado do estabelecimento, cuja entrada foi classificada no código 1.551 - Compra de bem para o ativo imobilizado.",
5.554,Remessa de bem do ativo imobilizado para uso fora do estabelecimento,Classificam-se neste código as remessas de bens do ativo imobilizado para uso fora do estabelecimento.,
5.555,"Devolução de bem do ativo imobilizado de terceiro, recebido para uso no estabelecimento","Classificam-se neste código as saídas em devolução, de bens do ativo imobilizado de terceiros, recebidos para uso no estabelecimento, cuja entrada tenha sido classificada no código 1.555 - Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento.",
5.556,Devolução de compra de material de uso ou consumo,"Classificam-se neste código as devoluções de mercadorias destinadas ao uso ou consumo do estabelecimento, cuja entrada tenha sido classificada no código 1.556 - Compra de material para uso ou consumo.",
5.557,Transferência de material de uso ou consumo,Classificam-se neste código os materiais para uso ou consumo transferidos para outro estabelecimento da mesma empresa.,
5.6,CRÉDITOS E RESSARCIMENTOS DE ICMS, Início,
5.601,Transferência de crédito de ICMS acumulado,Classificam-se neste código os lançamentos destinados ao registro da transferência de créditos de ICMS para outras empresas.,
5.602,"Transferência de saldo credor do ICMS, para outro estabelecimento da mesma empresa, destinado à compensação de saldo devedor do ICMS","Lançamento destinado ao registro da transferência de saldo credor do ICMS, para outro estabelecimento da mesma empresa, destinado à compensação do saldo devedor desse estabelecimento, inclusive no caso de apuração centralizada do imposto. (NR Ajuste SINIEF 09/2003 – a partir 01.01.2004)",
5.603,Ressarcimento de ICMS retido por substituição tributária,"Classificam-se neste código os lançamentos destinados ao registro de ressarcimento de ICMS retido por substituição tributária a contribuinte substituído, efetuado pelo contribuinte substituto, nas hipóteses previstas na legislação aplicável.",
5.605,Transferência de saldo devedor do ICMS de outro estabelecimento da mesma empresa ,"Lançamento destinado ao registro da transferência de saldo devedor do ICMS para outro estabelecimento da mesma empresa, para efetivação da apuração centralizada do imposto. (ACR Ajuste SINIEF 03/2004) (DECRETO Nº 26.810/2004) (a partir de 01.01.2005)",
5.606,Utilização de saldo credor do ICMS para extinção por compensação de débitos fiscais,Lançamento destinado ao registro de utilização de saldo credor do ICMS em conta gráfica para extinção por compensação de débitos fiscais desvinculados de conta gráfica. (ACR Ajuste SINIEF 02/2005 – a partir de 01.01.2006). (DECRETO Nº 27.995 de 06.06.2005) a partir de 01.01.2006,
5.65,"SAÍDAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO DE PETRÓLEO, E LUBRIFICANTES", (ACR Ajuste SINIEF 9/2003 - a partir 01.01.2004) ( Decreto Nº 26.174 de 26/11/2003),
,,,
,,Início,
5.651,Venda de combustível ou lubrificante de produção do estabelecimento destinados à industrialização subseqüente,"Venda de combustível ou lubrificante, industrializados no estabelecimento e destinados à industrialização do próprio produto, inclusive aquela decorrente de encomenda para entrega futura, cujo faturamento tenha sido classificado no código 5.922 – ""Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.652,"Venda de combustível ou lubrificante, de produção do estabelecimento, destinados à comercialização","Venda de combustível ou lubrificante, industrializados no estabelecimento, destinados à comercialização, inclusive aquela decorrente de encomenda para entrega futura, cujo faturamento tenha sido classificado no código 5.922 – ""Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.653,"Venda de combustível ou lubrificante, de produção do estabelecimento, destinados a consumidor ou usuário final","Venda de combustível ou lubrificante, industrializados no estabelecimento, destinados a consumo em processo de industrialização de outro produto, à prestação de serviço ou a usuário final, inclusive aquela decorrente de encomenda para entrega futura, cujo faturamento tenha sido classificado no código 5.922 – ""Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.654,"Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados à industrialização subseqüente","Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados à industrialização do próprio produto, inclusive aquela decorrente de encomenda para entrega futura, cujo faturamento tenha sido classificado no código 5.922 – ""Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.655,"Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados à comercialização","Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados à comercialização, inclusive aquela decorrente de encomenda para entrega futura, cujo faturamento tenha sido classificado no código 5.922 – ""Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.656,"Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados a consumidor ou usuário final","Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados a consumo em processo de industrialização de outro produto, à prestação de serviço ou a usuário final, inclusive aquela decorrente de encomenda para entrega futura, cujo faturamento tenha sido classificado no código 5.922 – ""Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.657,"Remessa de combustível ou lubrificante, adquiridos ou recebidos de terceiros, para venda fora do estabelecimento","Remessa de combustível ou lubrificante, adquiridos ou recebidos de terceiros, para ser vendidos fora do estabelecimento, inclusive por meio de veículos. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.658,Transferência de combustível ou lubrificante de produção do estabelecimento,"Transferência de combustível ou lubrificante, industrializados no estabelecimento, para outro estabelecimento da mesma empresa. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.659 ,Transferência de combustível ou lubrificante adquiridos ou recebidos de terceiros,"Transferência de combustível ou lubrificante, adquiridos ou recebidos de terceiros, para outro estabelecimento da mesma empresa. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.66,Devolução de compra de combustível ou lubrificante adquiridos para industrialização subseqüente,"Devolução de compra de combustível ou lubrificante, adquiridos para industrialização do próprio produto, cuja entrada tenha sido classificada como ""Compra de combustível ou lubrificante para industrialização subseqüente"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.661,Devolução de compra de combustível ou lubrificante adquiridos para comercialização,"Devolução de compra de combustível ou lubrificante, adquiridos para comercialização, cuja entrada tenha sido classificada como ""Compra de combustível ou lubrificante para comercialização"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.662,Devolução de compra de combustível ou lubrificante adquiridos por consumidor ou usuário final,"Devolução de compra de combustível ou lubrificante, adquiridos para consumo em processo de industrialização de outro produto, na prestação de serviço ou por usuário final, cuja entrada tenha sido classificada como ""Compra de combustível ou lubrificante por consumidor ou usuário final"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.663,Remessa para armazenagem de combustível ou lubrificante,Remessa para armazenagem de combustível ou lubrificante. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003),
5.664,Retorno de combustível ou lubrificante recebidos para armazenagem,"Remessa, em devolução, de combustível ou lubrificante, recebidos para armazenagem. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.665,Retorno simbólico de combustível ou lubrificante recebidos para armazenagem,"Retorno simbólico de combustível ou lubrificante, recebidos para armazenagem, quando a mercadoria armazenada tenha sido objeto de saída, a qualquer título, e não deva retornar ao estabelecimento depositante. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.666,"Remessa, por conta e ordem de terceiros, de combustível ou lubrificante recebidos para armazenagem","Saída, por conta e ordem de terceiros, de combustível ou lubrificante, recebidos anteriormente para armazenagem. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
5.667,Venda de combustível ou lubrificante a consumidor ou usuário final estabelecido em outra Unidade da Federação,"Venda de combustível ou lubrificante a consumidor ou a usuário final estabelecido em outra Unidade da Federação, cujo abastecimento tenha sido efetuado na unidade da Federação do remetente. ACR Ajuste SINIEF 05/2009 – a partir de 01.07.2009)(Decreto nº 34.490/2009)",
5.9,OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS, Início,
5.901,Remessa para industrialização por encomenda,"Classificam-se neste código as remessas de insumos remetidos para industrialização por encomenda, a ser realizada em outra empresa ou em outro estabelecimento da mesma empresa.",
5.902,Retorno de mercadoria utilizada na industrialização por encomenda,"Classificam-se neste código as remessas, pelo estabelecimento industrializador, dos insumos recebidos para industrialização e incorporados ao produto final, por encomenda de outra empresa ou de outro estabelecimento da mesma empresa. O valor dos insumos nesta operação deverá ser igual ao valor dos insumos recebidos para industrialização.",
5.903,Retorno de mercadoria recebida para industrialização e não aplicada no referido processo,Classificam-se neste código as remessas em devolução de insumos recebidos para industrialização e não aplicados no referido processo.,
5.904,Remessa para venda fora do estabelecimento,"Classificam-se neste código as remessas de mercadorias para venda fora do estabelecimento, inclusive por meio de veículos.",
5.905,Remessa para depósito fechado ou armazém geral,Classificam-se neste código as remessas de mercadorias para depósito em depósito fechado ou armazém geral.,
5.906,Retorno de mercadoria depositada em depósito fechado ou armazém geral,Classificam-se neste código os retornos de mercadorias depositadas em depósito fechado ou armazém geral ao estabelecimento depositante.,
5.907,Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral,"Classificam-se neste código os retornos simbólicos de mercadorias recebidas para depósito em depósito fechado ou armazém geral, quando as mercadorias depositadas tenham sido objeto de saída a qualquer título e que não devam retornar ao estabelecimento depositante.",
5.908,Remessa de bem por conta de contrato de comodato,Classificam-se neste código as remessas de bens para o cumprimento de contrato de comodato.,
5.909,Retorno de bem recebido por conta de contrato de comodato,Classificam-se neste código as remessas de bens em devolução após cumprido o contrato de comodato.,
5.91,"Remessa em bonificação, doação ou brinde","Classificam-se neste código as remessas de mercadorias a título de bonificação, doação ou brinde.",
5.911,Remessa de amostra grátis,Classificam-se neste código as remessas de mercadorias a título de amostra grátis.,
5.912,Remessa de mercadoria ou bem para demonstração,Classificam-se neste código as remessas de mercadorias ou bens para demonstração.,
5.913,Retorno de mercadoria ou bem recebido para demonstração,Classificam-se neste código as remessas em devolução de mercadorias ou bens recebidos para demonstração.,
5.914,Remessa de mercadoria ou bem para exposição ou feira,Classificam-se neste código as remessas de mercadorias ou bens para exposição ou feira.,
5.915,Remessa de mercadoria ou bem para conserto ou reparo,Classificam-se neste código as remessas de mercadorias ou bens para conserto ou reparo.,
5.916,Retorno de mercadoria ou bem recebido para conserto ou reparo,Classificam-se neste código as remessas em devolução de mercadorias ou bens recebidos para conserto ou reparo.,
5.917,Remessa de mercadoria em consignação mercantil ou industrial,Classificam-se neste código as remessas de mercadorias a título de consignação mercantil ou industrial.,
5.918,Devolução de mercadoria recebida em consignação mercantil ou industrial,Classificam-se neste código as devoluções de mercadorias recebidas anteriormente a título de consignação mercantil ou industrial.,
5.919,"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, recebida anteriormente em consignação mercantil ou industrial","Classificam-se neste código as devoluções simbólicas de mercadorias vendidas ou utilizadas em processo industrial, que tenham sido recebidas anteriormente a título de consignação mercantil ou industrial.",
5.92,Remessa de vasilhame ou sacaria,Classificam-se neste código as remessas de vasilhame ou sacaria.,
5.921,Devolução de vasilhame ou sacaria,Classificam-se neste código as saídas por devolução de vasilhame ou sacaria.,
5.922,Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura,Classificam-se neste código os registros efetuados a título de simples faturamento decorrente de venda para entrega futura.,
5.923,"Remessa de mercadoria por conta e ordem de terceiros, em venda à ordem ou em operações com armazém geral ou depósito fechado. (NR AJUSTE SINIEF 14, DE 11 DE DEZEMBRO DE 2009)Vejamais[p2] efeitos a partir de 1º de julho de 2010– DECRETO 37.993/2012.","Classificam-se neste código as saídas correspondentes à entrega de mercadorias por conta e ordem de terceiros, em vendas à ordem, cuja venda ao adquirente originário foi classificada nos códigos “5.118 - Venda de produção do estabelecimento entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem” ou “5.119 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem”.",
